iter	Passed	Remaining
0	2	702
1	4	652
2	6	628
3	8	616
4	10	604
5	12	589
6	13	583
7	15	574
8	17	571
9	19	567
10	21	560
11	23	560
12	25	555
13	27	553
14	28	550
15	30	547
16	32	543
17	34	543
18	36	542
19	38	543
20	41	545
21	43	544
22	45	543
23	47	542
24	49	540
25	51	539
26	53	537
27	55	538
28	57	534
29	58	530
30	60	528
31	63	528
32	65	526
33	67	524
34	68	522
35	70	519
36	72	517
37	74	514
38	76	512
39	78	510
40	80	508
41	82	506
42	84	503
43	86	501
44	88	500
45	90	499
46	92	497
47	94	495
48	96	493
49	98	490
50	99	487
51	101	485
52	103	483
53	105	480
54	107	478
55	109	475
56	111	474
57	113	472
58	115	470
59	117	468
60	118	465
61	120	463
62	122	461
63	124	459
64	126	457
65	128	455
66	130	453
67	132	451
68	134	448
69	135	446
70	137	444
71	139	441
72	141	439
73	143	437
74	145	435
75	147	433
76	148	431
77	150	429
78	152	427
79	154	424
80	156	422
81	158	420
82	160	418
83	162	416
84	164	414
85	165	412
86	167	411
87	169	409
88	171	406
89	173	404
90	175	402
91	177	400
92	179	398
93	180	396
94	182	394
95	184	392
96	186	390
97	188	387
98	190	386
99	192	384
100	194	382
101	195	380
102	197	378
103	199	376
104	201	374
105	203	372
106	205	370
107	207	368
108	209	366
109	210	364
110	212	362
111	214	360
112	216	358
113	218	356
114	220	354
115	222	352
116	224	350
117	226	348
118	228	346
119	229	344
120	231	342
121	233	340
122	235	338
123	237	336
124	239	334
125	241	332
126	242	330
127	244	329
128	246	327
129	248	325
130	250	323
131	252	321
132	254	319
133	256	317
134	258	315
135	260	313
136	262	311
137	263	309
138	265	307
139	267	305
140	269	304
141	271	302
142	273	300
143	275	298
144	277	296
145	278	294
146	280	292
147	282	290
148	284	288
149	286	286
150	288	284
151	290	282
152	292	280
153	294	278
154	296	277
155	298	275
156	300	273
157	302	271
158	304	269
159	305	267
160	307	265
161	309	263
162	311	261
163	313	260
164	315	258
165	317	256
166	319	254
167	321	252
168	323	250
169	325	248
170	326	246
171	328	244
172	330	242
173	332	240
174	334	239
175	336	237
176	338	235
177	340	233
178	342	231
179	344	229
180	346	227
181	348	226
182	350	224
183	352	222
184	354	220
185	356	218
186	358	216
187	360	214
188	362	212
189	364	210
190	366	208
191	367	206
192	369	205
193	371	203
194	373	201
195	375	199
196	377	197
197	379	195
198	381	193
199	383	191
200	385	189
201	387	187
202	389	185
203	391	184
204	393	182
205	396	180
206	398	178
207	399	176
208	402	175
209	403	173
210	405	171
211	407	169
212	409	167
213	411	165
214	413	163
215	415	161
216	417	159
217	419	157
218	421	155
219	423	153
220	424	151
221	426	149
222	428	148
223	430	146
224	432	144
225	434	142
226	436	140
227	438	138
228	440	136
229	441	134
230	443	132
231	445	130
232	447	128
233	449	126
234	451	124
235	453	122
236	454	120
237	456	118
238	458	117
239	460	115
240	462	113
241	464	111
242	466	109
243	468	107
244	470	105
245	472	103
246	473	101
247	475	99
248	477	97
249	479	95
250	481	93
251	483	92
252	485	90
253	487	88
254	489	86
255	491	84
256	493	82
257	495	80
258	497	78
259	499	76
260	501	74
261	503	73
262	505	71
263	507	69
264	509	67
265	511	65
266	513	63
267	515	61
268	517	59
269	519	57
270	521	55
271	523	53
272	524	51
273	526	50
274	528	48
275	531	46
276	533	44
277	535	42
278	537	40
279	539	38
280	541	36
281	542	34
282	544	32
283	547	30
284	549	28
285	551	26
286	552	25
287	554	23
288	556	21
289	558	19
290	560	17
291	562	15
292	564	13
293	566	11
294	568	9
295	570	7
296	572	5
297	574	3
298	576	1
299	578	0
